state,year,Leg_Composition,Gov_Name,Gov_Party,state_party
AK,2016,NA,,NA,Divided
AK,2015,NA,,NA,Divided
AK,2014,NA,,NA,All Republican
AK,2013,NA,,NA,All Republican
AK,2012,NA,,NA,Divided
AK,2011,S,Parnell Sean,R,Divided
AK,2010,S,Parnell Sean,R,Divided
AK,2009,S,Palin Sarah H.,R,Divided
AK,2008,R,Palin Sarah H.,R,Divided
AK,2007,R,Palin Sarah H.,R,All Republican
AK,2006,R,Murkowski Frank H.,R,All Republican
AK,2005,R,Murkowski Frank H.,R,All Republican
AK,2004,R,Murkowski Frank H.,R,All Republican
AK,2003,R,Murkowski Frank H.,R,All Republican
AK,2002,R,Knowles Tony,D,All Republican
AK,2001,R,Knowles Tony,D,Divided
AL,2016,NA,,NA,All Republican
AL,2015,NA,,NA,All Republican
AL,2014,NA,,NA,All Republican
AL,2013,NA,,NA,All Republican
AL,2012,NA,,NA,All Republican
AL,2011,R,Bentley Robert,R,All Republican
AL,2010,D,Riley Bob,R,All Republican
AL,2009,D,Riley Bob,R,Divided
AL,2008,D,Riley Bob,R,Divided
AL,2007,D,Riley Bob,R,Divided
AL,2006,D,Riley Bob,R,Divided
AL,2005,D,Riley Bob,R,Divided
AL,2004,D,Riley Bob,R,Divided
AL,2003,D,Riley Bob,R,Divided
AL,2002,D,Siegelman Donald,D,Divided
AL,2001,D,Siegelman Donald,D,All Democratic
AR,2016,NA,,NA,All Republican
AR,2015,NA,,NA,All Republican
AR,2014,NA,,NA,Divided
AR,2013,NA,,NA,Divided
AR,2012,NA,,NA,All Democratic
AR,2011,D,Beebe Mike,D,All Democratic
AR,2010,D,Beebe Mike,D,All Democratic
AR,2009,D,Beebe Mike,D,All Democratic
AR,2008,D,Beebe Mike,D,All Democratic
AR,2007,D,Beebe Mike,D,All Democratic
AR,2006,D,Huckabee Mike,R,All Democratic
AR,2005,D,Huckabee Mike,R,Divided
AR,2004,D,Huckabee Mike,R,Divided
AR,2003,D,Huckabee Mike,R,Divided
AR,2002,D,Huckabee Mike,R,Divided
AR,2001,D,Huckabee Mike,R,Divided
AZ,2016,NA,,NA,All Republican
AZ,2015,NA,,NA,All Republican
AZ,2014,NA,,NA,All Republican
AZ,2013,NA,,NA,All Republican
AZ,2012,NA,,NA,All Republican
AZ,2011,R,Brewer Jan,R,All Republican
AZ,2010,R,Brewer Jan,R,All Republican
AZ,2009,R,Brewer Jan,R,All Republican
AZ,2008,R,Napolitano Janet,D,All Republican
AZ,2007,R,Napolitano Janet,D,Divided
AZ,2006,R,Napolitano Janet,D,Divided
AZ,2005,R,Napolitano Janet,D,Divided
AZ,2004,R,Napolitano Janet,D,Divided
AZ,2003,R,Napolitano Janet,D,Divided
AZ,2002,S,Hull Jane,R,Divided
AZ,2001,S,Hull Jane,R,Divided
CA,2016,NA,,NA,All Democratic
CA,2015,NA,,NA,All Democratic
CA,2014,NA,,NA,All Democratic
CA,2013,NA,,NA,All Democratic
CA,2012,NA,,NA,All Democratic
CA,2011,D,Brown Edmund Gerald,D,All Democratic
CA,2010,D,Schwarzenegger Arnold,R,All Democratic
CA,2009,D,Schwarzenegger Arnold,R,Divided
CA,2008,D,Schwarzenegger Arnold,R,Divided
CA,2007,D,Schwarzenegger Arnold,R,Divided
CA,2006,D,Schwarzenegger Arnold,R,Divided
CA,2005,D,Schwarzenegger Arnold,R,Divided
CA,2004,D,Schwarzenegger Arnold,R,Divided
CA,2003,D,Switch; Davis-D then Schwarzenegger,D,Divided
CA,2002,D,Davis Gray,D,All Democratic
CA,2001,D,Davis Gray,D,All Democratic
CO,2016,NA,,NA,Divided
CO,2015,NA,,NA,Divided
CO,2014,NA,,NA,All Democratic
CO,2013,NA,,NA,All Democratic
CO,2012,NA,,NA,Divided
CO,2011,S,Hickenlooper John,D,Divided
CO,2010,D,Ritter Bill,D,Divided
CO,2009,D,Ritter Bill,D,All Democratic
CO,2008,D,Ritter Bill,D,All Democratic
CO,2007,D,Ritter Bill,D,All Democratic
CO,2006,D,Owens Bill,R,All Democratic
CO,2005,D,Owens Bill,R,Divided
CO,2004,R,Owens Bill,R,Divided
CO,2003,R,Owens Bill,R,All Republican
CO,2002,S,Owens Bill,R,All Republican
CO,2001,S,Owens Bill,R,Divided
CT,2016,NA,,NA,All Democratic
CT,2015,NA,,NA,All Democratic
CT,2014,NA,,NA,All Democratic
CT,2013,NA,,NA,All Democratic
CT,2012,NA,,NA,All Democratic
CT,2011,D,Malloy Dan,D,All Democratic
CT,2010,D,Rell M. Jodi,R,All Democratic
CT,2009,D,Rell M. Jodi,R,Divided
CT,2008,D,Rell M. Jodi,R,Divided
CT,2007,D,Rell M. Jodi,R,Divided
CT,2006,D,Rell M. Jodi,R,Divided
CT,2005,D,Rell M. Jodi,R,Divided
CT,2004,D,Rell M. Jodi,R,Divided
CT,2003,D,Rowland John G. ,R,Divided
CT,2002,D,Rowland John G. ,R,Divided
CT,2001,D,Rowland John G. ,R,Divided
DE,2016,NA,,NA,All Democratic
DE,2015,NA,,NA,All Democratic
DE,2014,NA,,NA,All Democratic
DE,2013,NA,,NA,All Democratic
